customer_id,first_purchase,last_purchase,total_orders,total_revenue,avg_order_value,cohort_month,city,channel,is_subscriber
CUST00043,2024-11-29,2024-11-29,1,747,747.0,2024-11,Pune,Organic Search,Yes
CUST00044,2024-03-02,2024-12-29,2,597,298.5,2024-03,Delhi,Organic Search,Yes
CUST00046,2023-02-06,2024-05-31,5,2875,575.0,2023-02,Mumbai,Influencer,No
CUST00047,2023-02-06,2024-11-18,3,1486,495.3333333333333,2023-02,Pune,Referral,No
CUST00048,2023-08-15,2024-05-16,3,778,259.3333333333333,2023-08,Delhi,Instagram Ad,No
CUST00051,2023-10-16,2024-01-02,2,679,339.5,2023-10,Mumbai,Instagram Ad,No
CUST00052,2024-03-05,2024-10-08,2,848,424.0,2024-03,Mumbai,Instagram Ad,No
CUST00053,2024-12-11,2024-12-11,1,998,998.0,2024-12,Mumbai,Google Ad,No
CUST00054,2023-02-25,2023-12-19,4,2295,573.75,2023-02,Delhi,Organic Search,Yes
CUST00055,2023-04-05,2024-06-20,2,748,374.0,2023-04,Hyderabad,Organic Search,No
CUST00056,2024-06-26,2024-06-26,1,299,299.0,2024-06,Pune,Instagram Ad,No
CUST00057,2024-04-16,2024-04-16,1,1198,1198.0,2024-04,Delhi,Influencer,No
CUST00058,2023-01-22,2023-01-22,1,360,360.0,2023-01,Pune,Referral,No
CUST00059,2023-10-06,2023-10-06,1,249,249.0,2023-10,Bangalore,Instagram Ad,No
CUST00060,2023-01-26,2024-12-09,6,3650,608.3333333333334,2023-01,Mumbai,Organic Search,Yes
CUST00061,2023-06-10,2023-12-04,3,2994,998.0,2023-06,Jaipur,Influencer,No
CUST00062,2023-10-17,2023-10-17,1,599,599.0,2023-10,Ahmedabad,Google Ad,No
CUST00063,2024-09-16,2024-09-16,1,599,599.0,2024-09,Kolkata,Instagram Ad,No
CUST00064,2023-01-11,2023-05-19,2,996,498.0,2023-01,Delhi,Instagram Ad,No
CUST00065,2023-03-20,2024-09-06,5,2694,538.8,2023-03,Hyderabad,Organic Search,Yes
CUST00066,2024-04-20,2024-09-14,2,598,299.0,2024-04,Lucknow,Instagram Ad,No
CUST00067,2023-01-09,2024-02-28,7,2800,400.0,2023-01,Hyderabad,Organic Search,No
CUST00068,2024-10-10,2024-10-10,1,499,499.0,2024-10,Delhi,Referral,No
CUST00069,2023-09-21,2024-02-02,3,2295,765.0,2023-09,Ahmedabad,Google Ad,No
CUST00071,2023-09-04,2024-03-14,2,948,474.0,2023-09,Delhi,Google Ad,Yes
CUST00072,2023-01-18,2024-07-24,4,2076,519.0,2023-01,Mumbai,Google Ad,No
CUST00073,2023-05-01,2023-05-01,1,199,199.0,2023-05,Pune,Instagram Ad,Yes
CUST00074,2023-02-27,2024-05-21,3,1605,535.0,2023-02,Delhi,Instagram Ad,No
CUST00075,2023-04-17,2024-07-22,4,2026,506.5,2023-04,Mumbai,Organic Search,Yes
CUST00076,2023-02-25,2024-02-07,3,1556,518.6666666666666,2023-02,Bangalore,Google Ad,No
CUST00077,2023-06-25,2024-12-18,5,2494,498.8,2023-06,Lucknow,Google Ad,No
CUST00078,2023-10-07,2023-11-05,2,429,214.5,2023-10,Delhi,Google Ad,Yes
CUST00079,2023-04-28,2024-11-26,6,3004,500.6666666666667,2023-04,Jaipur,Referral,No
CUST00080,2023-06-09,2024-11-19,3,1777,592.3333333333334,2023-06,Mumbai,Instagram Ad,No
CUST00081,2024-09-03,2024-10-22,2,2296,1148.0,2024-09,Hyderabad,Organic Search,No
CUST00082,2023-08-08,2024-07-01,3,540,180.0,2023-08,Hyderabad,Google Ad,No
CUST00083,2023-01-29,2024-12-05,5,1475,295.0,2023-01,Delhi,Google Ad,No
CUST00084,2023-01-04,2024-10-04,3,778,259.3333333333333,2023-01,Mumbai,Instagram Ad,Yes
CUST00086,2023-01-10,2024-09-06,4,1418,354.5,2023-01,Bangalore,Instagram Ad,No
CUST00087,2023-07-03,2024-01-29,2,1098,549.0,2023-07,Pune,Organic Search,Yes
CUST00088,2023-03-30,2024-10-05,2,947,473.5,2023-03,Pune,Google Ad,No
CUST00089,2023-04-20,2023-05-23,2,1295,647.5,2023-04,Mumbai,Instagram Ad,No
CUST00090,2023-11-26,2024-12-07,3,1028,342.6666666666667,2023-11,Pune,Influencer,No
CUST00091,2024-01-17,2024-08-05,4,2644,661.0,2024-01,Pune,Google Ad,No
CUST00092,2023-11-03,2024-08-21,4,3392,848.0,2023-11,Delhi,Influencer,No
CUST00093,2023-11-03,2024-05-01,3,1247,415.6666666666667,2023-11,Mumbai,Instagram Ad,Yes
CUST00094,2023-05-27,2024-09-25,5,1985,397.0,2023-05,Hyderabad,Instagram Ad,No
CUST00096,2023-01-05,2024-12-05,5,3715,743.0,2023-01,Hyderabad,Organic Search,No
CUST00097,2023-03-29,2024-10-28,5,3083,616.6,2023-03,Chennai,Instagram Ad,Yes
CUST00098,2023-06-10,2024-12-14,5,1625,325.0,2023-06,Chennai,Influencer,No
CUST00099,2023-07-16,2024-05-04,2,748,374.0,2023-07,Chennai,Instagram Ad,No
CUST00102,2023-08-18,2024-08-03,3,2445,815.0,2023-08,Ahmedabad,Google Ad,Yes
CUST00103,2023-05-15,2023-07-24,2,598,299.0,2023-05,Mumbai,Instagram Ad,No
CUST00104,2023-04-12,2023-09-21,3,1096,365.3333333333333,2023-04,Pune,Organic Search,No
CUST00107,2023-03-27,2024-10-16,3,2157,719.0,2023-03,Bangalore,Google Ad,No
CUST00108,2023-05-17,2023-11-18,2,2396,1198.0,2023-05,Mumbai,Instagram Ad,No
CUST00109,2023-10-24,2024-05-19,2,709,354.5,2023-10,Mumbai,Instagram Ad,No
CUST00110,2023-02-12,2024-09-09,2,479,239.5,2023-02,Chennai,Organic Search,Yes
CUST00111,2024-03-27,2024-07-02,2,1407,703.5,2024-03,Lucknow,Google Ad,No
CUST00112,2023-05-11,2024-12-29,4,1506,376.5,2023-05,Jaipur,Influencer,No
CUST00113,2023-10-29,2024-11-05,2,898,449.0,2023-10,Mumbai,Referral,No
CUST00114,2023-07-27,2024-12-28,4,1827,456.75,2023-07,Ahmedabad,Instagram Ad,No
CUST00115,2023-05-21,2024-10-31,4,2065,516.25,2023-05,Bangalore,Instagram Ad,Yes
CUST00116,2023-01-02,2024-08-23,5,1407,281.4,2023-01,Pune,Organic Search,No
CUST00117,2023-06-05,2024-04-22,5,3491,698.2,2023-06,Delhi,Instagram Ad,No
CUST00118,2023-02-18,2023-02-18,1,698,698.0,2023-02,Jaipur,Instagram Ad,No
CUST00119,2023-11-08,2024-12-14,3,1595,531.6666666666666,2023-11,Ahmedabad,Google Ad,No
CUST00120,2023-02-11,2024-11-29,3,1028,342.6666666666667,2023-02,Bangalore,Influencer,No
CUST00121,2023-11-09,2024-07-13,2,898,449.0,2023-11,Hyderabad,Google Ad,No
CUST00122,2024-11-09,2024-11-09,1,698,698.0,2024-11,Ahmedabad,Instagram Ad,No
CUST00123,2023-07-20,2024-07-21,3,1846,615.3333333333334,2023-07,Ahmedabad,Google Ad,No
CUST00125,2023-06-07,2023-11-06,4,3175,793.75,2023-06,Mumbai,Influencer,No
CUST00127,2023-05-26,2024-03-17,2,778,389.0,2023-05,Mumbai,Influencer,No
CUST00128,2024-05-30,2024-11-22,2,2844,1422.0,2024-05,Hyderabad,Organic Search,No
CUST00129,2023-05-29,2023-11-17,3,1146,382.0,2023-05,Kolkata,Instagram Ad,Yes
CUST00130,2023-06-09,2024-03-18,4,1876,469.0,2023-06,Chennai,Influencer,Yes
CUST00131,2023-05-29,2024-11-20,3,2095,698.3333333333334,2023-05,Delhi,Influencer,No
CUST00132,2023-02-17,2024-04-10,3,778,259.3333333333333,2023-02,Bangalore,Google Ad,No
CUST00133,2023-07-31,2024-04-14,3,1477,492.3333333333333,2023-07,Kolkata,Referral,No
CUST00134,2023-01-16,2024-09-27,4,1499,374.75,2023-01,Bangalore,Referral,No
CUST00135,2023-11-24,2024-09-17,4,2494,623.5,2023-11,Delhi,Google Ad,Yes
CUST00136,2023-06-08,2024-06-16,5,1157,231.4,2023-06,Pune,Instagram Ad,No
CUST00137,2023-03-24,2024-12-26,6,1886,314.3333333333333,2023-03,Delhi,Instagram Ad,No
CUST00138,2023-04-28,2023-04-28,1,897,897.0,2023-04,Chennai,Google Ad,No
CUST00139,2023-04-06,2023-06-12,3,1996,665.3333333333334,2023-04,Pune,Referral,No
CUST00140,2023-05-03,2024-11-28,6,4148,691.3333333333334,2023-05,Mumbai,Referral,No
CUST00141,2023-04-07,2024-03-18,4,1943,485.75,2023-04,Mumbai,Instagram Ad,Yes
CUST00142,2024-01-05,2024-07-31,2,1296,648.0,2024-01,Pune,Google Ad,No
CUST00143,2023-02-05,2024-05-11,2,360,180.0,2023-02,Delhi,Google Ad,No
CUST00144,2023-04-04,2024-12-09,4,1457,364.25,2023-04,Pune,Referral,No
CUST00145,2023-02-11,2023-12-30,2,360,180.0,2023-02,Ahmedabad,Google Ad,No
CUST00146,2024-05-13,2024-11-30,3,2276,758.6666666666666,2024-05,Lucknow,Google Ad,No
CUST00147,2023-09-04,2023-09-04,1,199,199.0,2023-09,Delhi,Instagram Ad,Yes
CUST00148,2023-08-27,2023-08-27,1,249,249.0,2023-08,Mumbai,Instagram Ad,No
CUST00149,2023-11-11,2024-10-11,2,1596,798.0,2023-11,Delhi,Influencer,No
CUST00150,2023-04-12,2024-11-15,4,2923,730.75,2023-04,Mumbai,Instagram Ad,Yes
CUST00151,2023-01-17,2023-01-17,1,598,598.0,2023-01,Delhi,Instagram Ad,Yes
CUST00152,2023-03-23,2024-07-29,2,997,498.5,2023-03,Bangalore,Instagram Ad,No
CUST00153,2023-03-26,2024-03-07,4,877,219.25,2023-03,Hyderabad,Instagram Ad,No
CUST00154,2023-12-12,2024-03-19,2,778,389.0,2023-12,Mumbai,Referral,No
CUST00155,2023-02-19,2024-11-06,4,2194,548.5,2023-02,Delhi,Referral,No
CUST00156,2023-04-15,2023-12-16,3,2095,698.3333333333334,2023-04,Mumbai,Google Ad,No
CUST00157,2023-01-24,2023-07-10,3,1677,559.0,2023-01,Delhi,Google Ad,No
CUST00159,2023-05-06,2023-09-07,2,1396,698.0,2023-05,Bangalore,Instagram Ad,No
CUST00160,2023-05-22,2023-05-22,1,599,599.0,2023-05,Delhi,Instagram Ad,No
CUST00161,2023-05-20,2024-03-20,4,1656,414.0,2023-05,Delhi,Instagram Ad,No
CUST00162,2024-02-23,2024-11-25,3,1227,409.0,2024-02,Ahmedabad,Organic Search,No
CUST00163,2023-02-25,2024-11-23,5,2342,468.4,2023-02,Bangalore,Instagram Ad,No
CUST00164,2023-04-02,2024-01-30,3,728,242.66666666666666,2023-04,Hyderabad,Google Ad,Yes
CUST00165,2023-01-14,2024-08-27,5,1620,324.0,2023-01,Delhi,Organic Search,No
CUST00166,2023-03-26,2024-06-04,5,1947,389.4,2023-03,Lucknow,Organic Search,Yes
CUST00167,2023-07-23,2024-10-12,3,2096,698.6666666666666,2023-07,Mumbai,Instagram Ad,Yes
CUST00168,2024-11-19,2024-11-19,1,180,180.0,2024-11,Delhi,Instagram Ad,No
CUST00169,2023-08-16,2024-11-01,3,1277,425.6666666666667,2023-08,Bangalore,Google Ad,No
CUST00170,2023-01-01,2024-12-02,5,2575,515.0,2023-01,Delhi,Influencer,No
CUST00171,2024-03-10,2024-03-10,1,349,349.0,2024-03,Delhi,Instagram Ad,No
CUST00173,2023-02-26,2024-07-27,5,1705,341.0,2023-02,Mumbai,Instagram Ad,No
CUST00174,2023-12-25,2024-06-05,2,429,214.5,2023-12,Delhi,Instagram Ad,No
CUST00175,2023-02-07,2023-08-05,2,900,450.0,2023-02,Pune,Instagram Ad,No
CUST00176,2024-10-10,2024-12-03,2,878,439.0,2024-10,Mumbai,Instagram Ad,Yes
CUST00177,2024-01-18,2024-11-29,5,1793,358.6,2024-01,Lucknow,Instagram Ad,No
CUST00178,2023-03-06,2024-07-03,3,1445,481.6666666666667,2023-03,Hyderabad,Referral,No
CUST00179,2023-05-05,2024-02-28,4,2643,660.75,2023-05,Bangalore,Instagram Ad,No
CUST00180,2024-05-22,2024-05-22,1,499,499.0,2024-05,Jaipur,Instagram Ad,No
CUST00181,2023-11-28,2023-11-28,1,599,599.0,2023-11,Mumbai,Instagram Ad,No
CUST00182,2023-10-10,2024-12-28,4,2393,598.25,2023-10,Kolkata,Instagram Ad,No
CUST00183,2023-12-09,2024-08-07,2,698,349.0,2023-12,Mumbai,Instagram Ad,No
CUST00185,2023-09-02,2023-09-02,1,398,398.0,2023-09,Chennai,Google Ad,No
CUST00187,2023-01-27,2024-12-20,8,3291,411.375,2023-01,Ahmedabad,Google Ad,No
CUST00188,2023-07-14,2023-07-14,1,180,180.0,2023-07,Pune,Instagram Ad,No
CUST00189,2023-11-27,2024-11-06,3,1257,419.0,2023-11,Delhi,Instagram Ad,No
CUST00190,2023-03-10,2024-12-19,4,1096,274.0,2023-03,Bangalore,Influencer,No
CUST00191,2024-02-06,2024-11-08,5,2094,418.8,2024-02,Delhi,Instagram Ad,No
CUST00193,2023-01-30,2024-03-11,4,1875,468.75,2023-01,Chennai,Instagram Ad,No
CUST00194,2023-09-30,2024-08-30,2,1098,549.0,2023-09,Delhi,Referral,Yes
CUST00195,2023-06-10,2024-11-07,4,1826,456.5,2023-06,Hyderabad,Organic Search,No
CUST00196,2023-07-19,2024-08-23,5,2943,588.6,2023-07,Bangalore,Instagram Ad,No
CUST00197,2023-05-28,2024-11-30,5,2086,417.2,2023-05,Ahmedabad,Organic Search,No
CUST00198,2023-02-09,2024-10-23,4,1296,324.0,2023-02,Jaipur,Instagram Ad,No
CUST00199,2024-03-13,2024-10-15,2,609,304.5,2024-03,Pune,Instagram Ad,No
CUST00200,2023-04-06,2024-05-09,3,1995,665.0,2023-04,Pune,Organic Search,No
CUST00201,2024-11-18,2024-11-18,1,349,349.0,2024-11,Mumbai,Organic Search,No
CUST00202,2023-05-16,2024-01-30,2,898,449.0,2023-05,Hyderabad,Influencer,No
CUST00203,2023-10-27,2024-04-28,2,379,189.5,2023-10,Mumbai,Influencer,No
CUST00204,2023-06-07,2023-06-07,1,180,180.0,2023-06,Ahmedabad,Referral,No
CUST00205,2024-01-19,2024-08-07,4,2993,748.25,2024-01,Delhi,Instagram Ad,No
CUST00206,2023-07-23,2023-07-23,1,180,180.0,2023-07,Mumbai,Instagram Ad,No
CUST00207,2023-07-25,2023-08-09,2,1346,673.0,2023-07,Ahmedabad,Instagram Ad,No
CUST00208,2023-09-16,2023-09-16,1,599,599.0,2023-09,Bangalore,Instagram Ad,No
CUST00209,2023-03-11,2024-11-14,2,1197,598.5,2023-03,Mumbai,Google Ad,No
CUST00210,2024-02-03,2024-12-09,3,628,209.33333333333334,2024-02,Delhi,Organic Search,No
CUST00211,2023-07-27,2024-12-14,4,3392,848.0,2023-07,Hyderabad,Instagram Ad,No
CUST00212,2023-06-30,2024-07-22,4,2497,624.25,2023-06,Bangalore,Instagram Ad,No
CUST00213,2023-03-04,2024-09-20,4,1994,498.5,2023-03,Pune,Instagram Ad,No
CUST00215,2023-09-20,2024-12-28,2,839,419.5,2023-09,Bangalore,Google Ad,Yes
CUST00216,2024-10-10,2024-10-10,1,498,498.0,2024-10,Bangalore,Google Ad,No
CUST00217,2023-07-11,2024-12-09,6,2155,359.1666666666667,2023-07,Bangalore,Instagram Ad,Yes
CUST00218,2024-04-24,2024-09-27,2,1545,772.5,2024-04,Jaipur,Google Ad,No
CUST00219,2023-06-29,2023-06-30,2,578,289.0,2023-06,Bangalore,Instagram Ad,Yes
CUST00220,2023-01-23,2024-12-19,4,1257,314.25,2023-01,Pune,Instagram Ad,Yes
CUST00221,2023-03-05,2024-02-10,2,1496,748.0,2023-03,Hyderabad,Instagram Ad,Yes
CUST00222,2023-01-12,2024-04-09,3,1645,548.3333333333334,2023-01,Mumbai,Organic Search,Yes
CUST00223,2023-02-07,2023-02-07,1,299,299.0,2023-02,Delhi,Organic Search,No
CUST00224,2023-01-16,2023-01-16,1,249,249.0,2023-01,Delhi,Organic Search,Yes
CUST00225,2024-04-18,2024-08-03,2,748,374.0,2024-04,Ahmedabad,Instagram Ad,Yes
CUST00226,2023-03-20,2024-09-20,2,947,473.5,2023-03,Mumbai,Instagram Ad,No
CUST00227,2024-05-30,2024-11-30,2,1196,598.0,2024-05,Ahmedabad,Referral,No
CUST00228,2023-01-30,2024-07-08,2,2157,1078.5,2023-01,Delhi,Organic Search,No
CUST00229,2024-10-03,2024-10-03,1,1198,1198.0,2024-10,Bangalore,Google Ad,No
CUST00230,2023-06-20,2024-12-31,5,4191,838.2,2023-06,Jaipur,Referral,Yes
CUST00231,2023-10-03,2024-11-22,3,1258,419.3333333333333,2023-10,Bangalore,Influencer,No
CUST00232,2024-04-01,2024-08-21,3,1196,398.6666666666667,2024-04,Mumbai,Instagram Ad,No
CUST00233,2024-07-17,2024-07-17,1,498,498.0,2024-07,Delhi,Instagram Ad,No
CUST00234,2023-12-10,2023-12-10,1,698,698.0,2023-12,Bangalore,Instagram Ad,No
CUST00235,2024-06-15,2024-06-15,1,499,499.0,2024-06,Ahmedabad,Instagram Ad,No
CUST00236,2023-09-18,2024-03-11,5,1994,398.8,2023-09,Bangalore,Organic Search,No
CUST00238,2023-01-12,2024-01-30,5,3334,666.8,2023-01,Pune,Organic Search,No
CUST00239,2023-01-06,2024-03-11,4,2087,521.75,2023-01,Ahmedabad,Google Ad,No
CUST00240,2023-07-30,2024-11-03,4,4191,1047.75,2023-07,Mumbai,Instagram Ad,No
CUST00241,2023-01-05,2024-11-03,4,1674,418.5,2023-01,Pune,Instagram Ad,No
CUST00242,2023-09-04,2024-03-05,2,959,479.5,2023-09,Delhi,Organic Search,No
CUST00243,2023-05-07,2024-11-09,2,748,374.0,2023-05,Bangalore,Organic Search,No
CUST00244,2023-02-14,2024-08-03,4,1476,369.0,2023-02,Mumbai,Instagram Ad,No
CUST00245,2024-05-15,2024-11-24,2,848,424.0,2024-05,Mumbai,Google Ad,No
CUST00246,2023-01-06,2023-09-15,4,2037,509.25,2023-01,Chennai,Instagram Ad,Yes
CUST00247,2023-05-01,2024-08-13,3,1496,498.6666666666667,2023-05,Bangalore,Organic Search,No
CUST00248,2023-11-05,2024-07-05,4,1556,389.0,2023-11,Chennai,Referral,No
CUST00249,2023-05-04,2024-11-12,5,3542,708.4,2023-05,Pune,Google Ad,Yes
CUST00250,2024-04-23,2024-10-17,2,798,399.0,2024-04,Mumbai,Influencer,No
CUST00251,2023-10-01,2023-10-01,1,499,499.0,2023-10,Bangalore,Referral,No
CUST00252,2024-09-25,2024-09-25,1,349,349.0,2024-09,Pune,Organic Search,No
CUST00253,2023-03-20,2024-11-05,2,997,498.5,2023-03,Bangalore,Instagram Ad,No
CUST00254,2023-08-06,2024-08-18,3,1718,572.6666666666666,2023-08,Mumbai,Organic Search,No
CUST00255,2023-02-06,2023-10-10,4,1277,319.25,2023-02,Pune,Influencer,Yes
CUST00256,2023-05-24,2024-11-07,3,997,332.3333333333333,2023-05,Delhi,Influencer,No
CUST00257,2024-02-19,2024-05-18,2,1097,548.5,2024-02,Bangalore,Referral,No
CUST00258,2023-02-14,2024-06-09,2,1796,898.0,2023-02,Chennai,Instagram Ad,No
CUST00259,2024-02-12,2024-12-22,2,578,289.0,2024-02,Mumbai,Instagram Ad,No
CUST00260,2023-07-24,2024-06-23,4,2575,643.75,2023-07,Hyderabad,Instagram Ad,No
CUST00261,2023-01-02,2024-11-12,2,379,189.5,2023-01,Chennai,Instagram Ad,No
CUST00262,2024-04-06,2024-07-05,2,1378,689.0,2024-04,Pune,Instagram Ad,Yes
CUST00263,2024-01-14,2024-11-14,2,1396,698.0,2024-01,Mumbai,Referral,No
CUST00264,2023-07-04,2024-01-02,2,1080,540.0,2023-07,Chennai,Influencer,No
CUST00265,2023-12-23,2023-12-23,1,299,299.0,2023-12,Bangalore,Google Ad,No
CUST00266,2023-01-16,2024-12-13,5,3303,660.6,2023-01,Lucknow,Referral,No
CUST00267,2023-02-17,2024-11-05,2,848,424.0,2023-02,Hyderabad,Instagram Ad,Yes
CUST00268,2024-01-22,2024-08-22,2,1197,598.5,2024-01,Delhi,Instagram Ad,Yes
CUST00269,2023-03-11,2024-05-28,5,2425,485.0,2023-03,Mumbai,Influencer,No
CUST00270,2023-07-19,2024-04-21,5,1926,385.2,2023-07,Hyderabad,Instagram Ad,No
CUST00271,2023-07-24,2024-05-26,3,778,259.3333333333333,2023-07,Mumbai,Google Ad,No
CUST00272,2023-10-14,2024-06-16,4,1645,411.25,2023-10,Bangalore,Organic Search,Yes
CUST00273,2023-05-24,2023-10-23,2,1096,548.0,2023-05,Delhi,Influencer,No
CUST00274,2023-09-09,2024-05-17,3,1447,482.3333333333333,2023-09,Bangalore,Instagram Ad,Yes
CUST00275,2024-02-29,2024-02-29,1,598,598.0,2024-02,Mumbai,Referral,No
CUST00277,2024-01-17,2024-01-17,1,299,299.0,2024-01,Mumbai,Google Ad,No
CUST00278,2023-07-14,2024-06-12,3,1894,631.3333333333334,2023-07,Mumbai,Referral,Yes
CUST00279,2024-06-03,2024-10-07,4,1046,261.5,2024-06,Bangalore,Organic Search,No
CUST00280,2023-11-11,2024-11-09,3,747,249.0,2023-11,Kolkata,Instagram Ad,Yes
CUST00281,2023-03-28,2024-11-20,4,1678,419.5,2023-03,Jaipur,Referral,No
CUST00282,2023-01-15,2024-01-23,3,1987,662.3333333333334,2023-01,Bangalore,Instagram Ad,No
CUST00283,2024-09-20,2024-09-20,1,1198,1198.0,2024-09,Delhi,Organic Search,No
CUST00285,2024-12-17,2024-12-17,1,349,349.0,2024-12,Bangalore,Google Ad,No
CUST00286,2023-03-16,2023-09-29,4,1776,444.0,2023-03,Delhi,Organic Search,No
CUST00287,2024-12-01,2024-12-01,1,249,249.0,2024-12,Kolkata,Referral,No
CUST00288,2024-02-26,2024-03-25,2,1096,548.0,2024-02,Kolkata,Organic Search,No
CUST00289,2023-08-14,2024-11-10,4,2145,536.25,2023-08,Hyderabad,Organic Search,No
CUST00290,2024-09-11,2024-09-11,1,897,897.0,2024-09,Kolkata,Referral,Yes
CUST00291,2023-11-25,2024-05-14,2,1797,898.5,2023-11,Mumbai,Instagram Ad,No
CUST00292,2023-01-07,2024-06-27,3,877,292.3333333333333,2023-01,Chennai,Referral,No
CUST00293,2023-08-30,2024-12-04,3,828,276.0,2023-08,Delhi,Organic Search,No
CUST00294,2023-01-04,2024-02-05,3,2294,764.6666666666666,2023-01,Delhi,Organic Search,No
CUST00295,2023-02-04,2024-09-18,5,2704,540.8,2023-02,Mumbai,Referral,No
CUST00296,2023-01-07,2024-12-05,5,2585,517.0,2023-01,Delhi,Organic Search,No
CUST00297,2023-05-31,2024-02-27,3,1196,398.6666666666667,2023-05,Ahmedabad,Organic Search,Yes
CUST00298,2023-05-08,2024-07-07,3,958,319.3333333333333,2023-05,Hyderabad,Instagram Ad,No
CUST00299,2023-01-13,2024-08-29,7,2295,327.85714285714283,2023-01,Pune,Instagram Ad,No
CUST00300,2023-08-22,2023-08-22,1,299,299.0,2023-08,Jaipur,Organic Search,Yes
CUST00301,2023-12-15,2024-02-11,2,2146,1073.0,2023-12,Mumbai,Instagram Ad,No
CUST00302,2024-02-11,2024-02-11,1,698,698.0,2024-02,Chennai,Organic Search,No
CUST00303,2023-03-27,2023-03-27,1,1198,1198.0,2023-03,Lucknow,Google Ad,No
CUST00304,2023-12-20,2024-06-29,2,847,423.5,2023-12,Chennai,Organic Search,Yes
CUST00305,2024-07-01,2024-07-01,1,597,597.0,2024-07,Hyderabad,Organic Search,No
CUST00306,2023-06-01,2024-11-28,7,3001,428.7142857142857,2023-06,Mumbai,Google Ad,No
CUST00307,2023-05-24,2024-04-27,4,2293,573.25,2023-05,Pune,Google Ad,No
CUST00308,2024-08-19,2024-08-19,1,180,180.0,2024-08,Bangalore,Influencer,Yes
CUST00309,2024-12-24,2024-12-24,1,398,398.0,2024-12,Mumbai,Organic Search,No
CUST00310,2023-09-29,2024-04-30,3,1445,481.6666666666667,2023-09,Bangalore,Influencer,Yes
CUST00311,2023-01-22,2023-11-27,4,2174,543.5,2023-01,Chennai,Referral,No
CUST00312,2023-07-12,2024-02-28,2,648,324.0,2023-07,Pune,Instagram Ad,Yes
CUST00313,2023-01-14,2023-11-08,3,1456,485.3333333333333,2023-01,Pune,Referral,No
CUST00314,2024-01-09,2024-02-04,2,889,444.5,2024-01,Mumbai,Organic Search,No
