customer_id,gender,age_group,city,channel,is_subscriber
CUST00173,Female,31-35,Mumbai,Instagram Ad,No
CUST00174,Other,25-30,Delhi,Instagram Ad,No
CUST00175,Other,25-30,Pune,Instagram Ad,No
CUST00176,Male,25-30,Mumbai,Instagram Ad,Yes
CUST00177,Other,18-24,Lucknow,Instagram Ad,No
CUST00178,Female,18-24,Hyderabad,Referral,No
CUST00179,Other,25-30,Bangalore,Instagram Ad,No
CUST00180,Female,36-45,Jaipur,Instagram Ad,No
CUST00181,Other,36-45,Mumbai,Instagram Ad,No
CUST00182,Male,25-30,Kolkata,Instagram Ad,No
CUST00183,Other,18-24,Mumbai,Instagram Ad,No
CUST00184,Other,31-35,Bangalore,Google Ad,No
CUST00185,Other,25-30,Chennai,Google Ad,No
CUST00186,Female,25-30,Delhi,Organic Search,No
CUST00187,Female,18-24,Ahmedabad,Google Ad,No
CUST00188,Male,36-45,Pune,Instagram Ad,No
CUST00189,Female,31-35,Delhi,Instagram Ad,No
CUST00190,Other,31-35,Bangalore,Influencer,No
CUST00191,Other,18-24,Delhi,Instagram Ad,No
CUST00192,Female,18-24,Pune,Referral,No
CUST00193,Other,25-30,Chennai,Instagram Ad,No
CUST00194,Male,18-24,Delhi,Referral,Yes
CUST00195,Male,18-24,Hyderabad,Organic Search,No
CUST00196,Female,31-35,Bangalore,Instagram Ad,No
CUST00197,Female,18-24,Ahmedabad,Organic Search,No
CUST00198,Male,25-30,Jaipur,Instagram Ad,No
CUST00199,Male,25-30,Pune,Instagram Ad,No
CUST00200,Female,36-45,Pune,Organic Search,No
CUST00201,Female,31-35,Mumbai,Organic Search,No
CUST00202,Female,25-30,Hyderabad,Influencer,No
CUST00203,Other,25-30,Mumbai,Influencer,No
CUST00204,Female,18-24,Ahmedabad,Referral,No
CUST00205,Female,25-30,Delhi,Instagram Ad,No
CUST00206,Other,31-35,Mumbai,Instagram Ad,No
CUST00207,Male,25-30,Ahmedabad,Instagram Ad,No
CUST00208,Female,31-35,Bangalore,Instagram Ad,No
CUST00209,Other,18-24,Mumbai,Google Ad,No
CUST00210,Female,36-45,Delhi,Organic Search,No
CUST00211,Female,18-24,Hyderabad,Instagram Ad,No
CUST00212,Other,18-24,Bangalore,Instagram Ad,No
CUST00213,Male,25-30,Pune,Instagram Ad,No
CUST00214,Other,18-24,Ahmedabad,Instagram Ad,Yes
CUST00215,Female,18-24,Bangalore,Google Ad,Yes
CUST00216,Male,31-35,Bangalore,Google Ad,No
CUST00217,Other,25-30,Bangalore,Instagram Ad,Yes
CUST00218,Other,36-45,Jaipur,Google Ad,No
CUST00219,Male,31-35,Bangalore,Instagram Ad,Yes
CUST00220,Female,31-35,Pune,Instagram Ad,Yes
CUST00221,Other,18-24,Hyderabad,Instagram Ad,Yes
CUST00222,Other,31-35,Mumbai,Organic Search,Yes
CUST00223,Other,18-24,Delhi,Organic Search,No
CUST00224,Female,36-45,Delhi,Organic Search,Yes
CUST00225,Other,25-30,Ahmedabad,Instagram Ad,Yes
CUST00226,Male,18-24,Mumbai,Instagram Ad,No
CUST00227,Male,25-30,Ahmedabad,Referral,No
CUST00228,Other,18-24,Delhi,Organic Search,No
CUST00229,Other,31-35,Bangalore,Google Ad,No
CUST00230,Male,25-30,Jaipur,Referral,Yes
CUST00231,Male,36-45,Bangalore,Influencer,No
CUST00232,Other,25-30,Mumbai,Instagram Ad,No
CUST00233,Male,31-35,Delhi,Instagram Ad,No
CUST00234,Female,45+,Bangalore,Instagram Ad,No
CUST00235,Female,18-24,Ahmedabad,Instagram Ad,No
CUST00236,Female,18-24,Bangalore,Organic Search,No
CUST00237,Female,18-24,Mumbai,Instagram Ad,No
CUST00238,Male,36-45,Pune,Organic Search,No
CUST00239,Female,18-24,Ahmedabad,Google Ad,No
CUST00240,Other,25-30,Mumbai,Instagram Ad,No
CUST00241,Other,18-24,Pune,Instagram Ad,No
CUST00242,Female,25-30,Delhi,Organic Search,No
CUST00243,Other,25-30,Bangalore,Organic Search,No
CUST00244,Female,31-35,Mumbai,Instagram Ad,No
CUST00245,Female,25-30,Mumbai,Google Ad,No
CUST00246,Female,25-30,Chennai,Instagram Ad,Yes
CUST00247,Other,31-35,Bangalore,Organic Search,No
CUST00248,Other,18-24,Chennai,Referral,No
CUST00249,Female,18-24,Pune,Google Ad,Yes
CUST00250,Female,36-45,Mumbai,Influencer,No
CUST00251,Female,18-24,Bangalore,Referral,No
CUST00252,Female,31-35,Pune,Organic Search,No
CUST00253,Male,18-24,Bangalore,Instagram Ad,No
CUST00254,Female,36-45,Mumbai,Organic Search,No
CUST00255,Other,18-24,Pune,Influencer,Yes
CUST00256,Female,31-35,Delhi,Influencer,No
CUST00257,Male,36-45,Bangalore,Referral,No
CUST00258,Other,25-30,Chennai,Instagram Ad,No
CUST00259,Male,18-24,Mumbai,Instagram Ad,No
CUST00260,Female,25-30,Hyderabad,Instagram Ad,No
CUST00261,Other,25-30,Chennai,Instagram Ad,No
CUST00262,Female,36-45,Pune,Instagram Ad,Yes
CUST00263,Other,36-45,Mumbai,Referral,No
CUST00264,Other,36-45,Chennai,Influencer,No
CUST00265,Other,31-35,Bangalore,Google Ad,No
CUST00266,Male,36-45,Lucknow,Referral,No
CUST00267,Female,25-30,Hyderabad,Instagram Ad,Yes
CUST00268,Male,25-30,Delhi,Instagram Ad,Yes
CUST00269,Male,18-24,Mumbai,Influencer,No
CUST00270,Female,25-30,Hyderabad,Instagram Ad,No
CUST00271,Female,31-35,Mumbai,Google Ad,No
CUST00272,Female,36-45,Bangalore,Organic Search,Yes
CUST00273,Other,45+,Delhi,Influencer,No
CUST00274,Male,31-35,Bangalore,Instagram Ad,Yes
CUST00275,Male,18-24,Mumbai,Referral,No
CUST00276,Male,18-24,Jaipur,Referral,No
CUST00277,Male,45+,Mumbai,Google Ad,No
CUST00278,Male,31-35,Mumbai,Referral,Yes
CUST00279,Other,18-24,Bangalore,Organic Search,No
CUST00280,Female,18-24,Kolkata,Instagram Ad,Yes
CUST00281,Other,36-45,Jaipur,Referral,No
CUST00282,Other,31-35,Bangalore,Instagram Ad,No
CUST00283,Other,25-30,Delhi,Organic Search,No
CUST00284,Female,18-24,Delhi,Organic Search,Yes
CUST00285,Female,36-45,Bangalore,Google Ad,No
CUST00286,Male,36-45,Delhi,Organic Search,No
CUST00287,Other,18-24,Kolkata,Referral,No
CUST00288,Male,36-45,Kolkata,Organic Search,No
CUST00289,Female,31-35,Hyderabad,Organic Search,No
CUST00290,Female,18-24,Kolkata,Referral,Yes
CUST00291,Female,36-45,Mumbai,Instagram Ad,No
CUST00292,Female,18-24,Chennai,Referral,No
CUST00293,Other,18-24,Delhi,Organic Search,No
CUST00294,Male,31-35,Delhi,Organic Search,No
CUST00295,Female,31-35,Mumbai,Referral,No
CUST00296,Male,45+,Delhi,Organic Search,No
CUST00297,Female,18-24,Ahmedabad,Organic Search,Yes
CUST00298,Male,25-30,Hyderabad,Instagram Ad,No
CUST00299,Male,25-30,Pune,Instagram Ad,No
CUST00300,Female,45+,Jaipur,Organic Search,Yes
CUST00301,Female,31-35,Mumbai,Instagram Ad,No
CUST00302,Male,25-30,Chennai,Organic Search,No
CUST00303,Other,18-24,Lucknow,Google Ad,No
CUST00304,Female,18-24,Chennai,Organic Search,Yes
CUST00305,Female,18-24,Hyderabad,Organic Search,No
CUST00306,Other,45+,Mumbai,Google Ad,No
CUST00307,Other,25-30,Pune,Google Ad,No
CUST00308,Female,45+,Bangalore,Influencer,Yes
CUST00309,Female,18-24,Mumbai,Organic Search,No
CUST00310,Female,36-45,Bangalore,Influencer,Yes
CUST00311,Female,36-45,Chennai,Referral,No
CUST00312,Male,31-35,Pune,Instagram Ad,Yes
CUST00313,Male,36-45,Pune,Referral,No
CUST00314,Male,18-24,Mumbai,Organic Search,No
CUST00315,Female,18-24,Bangalore,Instagram Ad,No
CUST00316,Male,18-24,Chennai,Instagram Ad,No
CUST00317,Female,18-24,Mumbai,Google Ad,No
CUST00318,Female,31-35,Delhi,Organic Search,No
CUST00319,Male,31-35,Mumbai,Google Ad,Yes
CUST00320,Female,18-24,Lucknow,Instagram Ad,No
CUST00321,Male,31-35,Hyderabad,Google Ad,Yes
CUST00322,Male,25-30,Bangalore,Instagram Ad,No
CUST00323,Male,18-24,Mumbai,Google Ad,Yes
CUST00324,Male,25-30,Hyderabad,Referral,Yes
CUST00325,Male,18-24,Mumbai,Organic Search,No
CUST00326,Other,18-24,Ahmedabad,Instagram Ad,No
CUST00327,Other,31-35,Kolkata,Organic Search,No
CUST00328,Other,25-30,Chennai,Instagram Ad,No
CUST00329,Other,25-30,Chennai,Google Ad,No
CUST00330,Other,25-30,Hyderabad,Instagram Ad,Yes
CUST00331,Male,18-24,Mumbai,Referral,Yes
CUST00332,Female,45+,Delhi,Instagram Ad,No
CUST00333,Female,31-35,Bangalore,Google Ad,No
CUST00334,Male,18-24,Lucknow,Influencer,No
CUST00335,Female,18-24,Hyderabad,Instagram Ad,Yes
CUST00336,Female,18-24,Bangalore,Referral,No
CUST00337,Other,31-35,Bangalore,Instagram Ad,No
CUST00338,Other,45+,Mumbai,Referral,No
CUST00339,Other,25-30,Hyderabad,Google Ad,No
CUST00340,Female,36-45,Bangalore,Instagram Ad,No
CUST00341,Other,36-45,Mumbai,Organic Search,No
CUST00342,Male,31-35,Mumbai,Organic Search,No
CUST00343,Female,18-24,Delhi,Influencer,Yes
CUST00344,Female,36-45,Bangalore,Instagram Ad,No
CUST00345,Other,25-30,Bangalore,Google Ad,No
CUST00346,Male,18-24,Delhi,Influencer,No
CUST00347,Other,31-35,Delhi,Referral,Yes
CUST00348,Other,45+,Bangalore,Instagram Ad,Yes
CUST00349,Female,18-24,Bangalore,Instagram Ad,No
CUST00350,Female,25-30,Delhi,Organic Search,No
CUST00351,Other,18-24,Mumbai,Instagram Ad,No
CUST00352,Female,31-35,Bangalore,Referral,No
CUST00353,Female,25-30,Kolkata,Instagram Ad,Yes
CUST00354,Female,18-24,Mumbai,Google Ad,No
CUST00355,Other,18-24,Mumbai,Google Ad,No
CUST00356,Female,25-30,Bangalore,Instagram Ad,Yes
CUST00357,Other,45+,Jaipur,Instagram Ad,No
CUST00358,Female,31-35,Kolkata,Google Ad,No
CUST00359,Male,25-30,Hyderabad,Instagram Ad,Yes
CUST00360,Female,25-30,Hyderabad,Instagram Ad,No
CUST00361,Other,45+,Mumbai,Organic Search,No
CUST00362,Female,36-45,Mumbai,Organic Search,No
CUST00363,Other,36-45,Hyderabad,Google Ad,No
CUST00364,Other,36-45,Pune,Instagram Ad,No
CUST00365,Female,31-35,Hyderabad,Instagram Ad,No
CUST00366,Other,25-30,Pune,Instagram Ad,No
CUST00367,Female,45+,Mumbai,Influencer,No
CUST00368,Male,36-45,Chennai,Google Ad,No
CUST00369,Other,36-45,Bangalore,Instagram Ad,No
CUST00370,Other,31-35,Chennai,Referral,No
CUST00371,Other,31-35,Mumbai,Google Ad,Yes
CUST00372,Other,25-30,Delhi,Google Ad,No
CUST00373,Male,25-30,Bangalore,Instagram Ad,No
CUST00374,Male,18-24,Mumbai,Organic Search,No
CUST00375,Female,31-35,Bangalore,Google Ad,No
CUST00376,Other,25-30,Bangalore,Instagram Ad,No
CUST00377,Other,25-30,Delhi,Organic Search,No
CUST00378,Male,31-35,Chennai,Referral,No
CUST00379,Female,45+,Mumbai,Instagram Ad,Yes
CUST00380,Male,31-35,Ahmedabad,Instagram Ad,No
CUST00381,Male,18-24,Ahmedabad,Google Ad,Yes
CUST00382,Female,25-30,Delhi,Instagram Ad,No
CUST00383,Other,31-35,Bangalore,Instagram Ad,No
CUST00384,Other,31-35,Delhi,Google Ad,Yes
CUST00385,Male,18-24,Hyderabad,Instagram Ad,No
CUST00386,Male,31-35,Mumbai,Google Ad,No
CUST00387,Male,45+,Bangalore,Referral,No
CUST00388,Female,18-24,Pune,Influencer,No
CUST00389,Female,31-35,Kolkata,Instagram Ad,Yes
CUST00390,Male,31-35,Bangalore,Referral,No
CUST00391,Other,25-30,Delhi,Referral,No
CUST00392,Other,36-45,Bangalore,Organic Search,Yes
CUST00393,Female,31-35,Bangalore,Organic Search,Yes
CUST00394,Female,31-35,Kolkata,Instagram Ad,Yes
CUST00395,Other,18-24,Pune,Organic Search,No
CUST00396,Female,18-24,Delhi,Organic Search,No
CUST00397,Other,45+,Mumbai,Organic Search,No
CUST00398,Male,25-30,Hyderabad,Organic Search,No
CUST00399,Female,18-24,Mumbai,Organic Search,No
CUST00400,Male,18-24,Mumbai,Instagram Ad,No
CUST00401,Female,18-24,Delhi,Instagram Ad,No
CUST00402,Female,18-24,Bangalore,Instagram Ad,No
CUST00403,Male,18-24,Bangalore,Referral,No
CUST00404,Male,25-30,Delhi,Instagram Ad,No
CUST00405,Female,45+,Hyderabad,Google Ad,No
CUST00406,Male,25-30,Mumbai,Google Ad,No
CUST00407,Other,18-24,Hyderabad,Instagram Ad,No
CUST00408,Other,18-24,Bangalore,Referral,No
CUST00409,Male,31-35,Chennai,Influencer,Yes
CUST00410,Other,25-30,Mumbai,Influencer,No
CUST00411,Other,25-30,Kolkata,Google Ad,No
CUST00412,Other,18-24,Chennai,Instagram Ad,No
CUST00413,Female,31-35,Hyderabad,Instagram Ad,No
CUST00414,Other,18-24,Delhi,Instagram Ad,No
CUST00415,Other,25-30,Delhi,Google Ad,No
CUST00416,Male,31-35,Bangalore,Influencer,No
CUST00417,Other,45+,Kolkata,Instagram Ad,No
CUST00418,Female,18-24,Chennai,Google Ad,No
CUST00419,Female,36-45,Chennai,Referral,No
CUST00420,Male,18-24,Bangalore,Instagram Ad,No
CUST00421,Female,25-30,Lucknow,Organic Search,No
CUST00422,Female,18-24,Kolkata,Influencer,No
CUST00423,Other,31-35,Chennai,Instagram Ad,No
CUST00424,Other,25-30,Mumbai,Google Ad,Yes
CUST00425,Female,18-24,Mumbai,Influencer,No
CUST00426,Male,45+,Bangalore,Instagram Ad,No
CUST00427,Male,25-30,Mumbai,Organic Search,Yes
CUST00428,Other,31-35,Pune,Instagram Ad,Yes
CUST00429,Female,31-35,Bangalore,Instagram Ad,No
CUST00430,Other,18-24,Hyderabad,Influencer,Yes
CUST00431,Male,18-24,Mumbai,Instagram Ad,Yes
CUST00432,Female,31-35,Mumbai,Google Ad,No
CUST00433,Other,31-35,Pune,Instagram Ad,No
CUST00434,Other,25-30,Bangalore,Instagram Ad,No
CUST00435,Male,25-30,Mumbai,Google Ad,No
CUST00436,Other,36-45,Hyderabad,Referral,Yes
CUST00437,Male,25-30,Bangalore,Instagram Ad,No
CUST00438,Male,31-35,Mumbai,Google Ad,Yes
CUST00439,Female,18-24,Delhi,Influencer,No
CUST00440,Female,45+,Bangalore,Instagram Ad,No
CUST00441,Other,25-30,Kolkata,Instagram Ad,No
CUST00442,Male,18-24,Delhi,Organic Search,No
CUST00443,Male,25-30,Delhi,Google Ad,No
CUST00444,Female,36-45,Jaipur,Referral,No
CUST00445,Female,31-35,Bangalore,Instagram Ad,No
CUST00446,Male,18-24,Ahmedabad,Google Ad,No
CUST00447,Female,31-35,Ahmedabad,Organic Search,No
CUST00448,Other,18-24,Bangalore,Instagram Ad,No
CUST00449,Male,25-30,Hyderabad,Instagram Ad,Yes
CUST00450,Female,31-35,Mumbai,Instagram Ad,Yes
CUST00451,Other,45+,Hyderabad,Google Ad,No
CUST00452,Male,25-30,Chennai,Organic Search,Yes
CUST00453,Other,18-24,Mumbai,Organic Search,No
CUST00454,Other,18-24,Mumbai,Instagram Ad,No
CUST00455,Male,25-30,Chennai,Organic Search,No
CUST00456,Other,18-24,Mumbai,Organic Search,No
CUST00457,Female,31-35,Bangalore,Instagram Ad,No
CUST00458,Female,31-35,Delhi,Influencer,No
CUST00459,Female,25-30,Hyderabad,Referral,No
CUST00460,Other,18-24,Delhi,Influencer,Yes
CUST00461,Female,25-30,Bangalore,Google Ad,No
CUST00462,Other,36-45,Delhi,Instagram Ad,Yes
CUST00463,Female,36-45,Pune,Instagram Ad,No
CUST00464,Male,36-45,Kolkata,Influencer,No
CUST00465,Other,31-35,Bangalore,Referral,No
CUST00466,Other,31-35,Pune,Instagram Ad,No
CUST00467,Female,45+,Ahmedabad,Instagram Ad,Yes
CUST00468,Male,18-24,Hyderabad,Referral,Yes
CUST00469,Female,25-30,Kolkata,Organic Search,No
CUST00470,Female,25-30,Bangalore,Instagram Ad,No
CUST00471,Male,31-35,Kolkata,Organic Search,No
CUST00472,Male,18-24,Bangalore,Instagram Ad,Yes
CUST00473,Female,31-35,Lucknow,Instagram Ad,No
CUST00474,Male,31-35,Mumbai,Google Ad,No
CUST00475,Female,31-35,Mumbai,Google Ad,No
CUST00476,Other,25-30,Mumbai,Referral,Yes
CUST00477,Female,31-35,Mumbai,Influencer,No
CUST00478,Other,25-30,Mumbai,Instagram Ad,No
CUST00479,Female,45+,Delhi,Google Ad,No
CUST00480,Male,36-45,Pune,Google Ad,No
CUST00481,Other,31-35,Mumbai,Organic Search,No
CUST00482,Male,31-35,Mumbai,Organic Search,No
CUST00483,Other,31-35,Mumbai,Organic Search,No
CUST00484,Other,25-30,Pune,Organic Search,No
CUST00485,Female,18-24,Chennai,Google Ad,Yes
CUST00486,Female,18-24,Delhi,Referral,No
CUST00487,Female,31-35,Bangalore,Google Ad,Yes
CUST00488,Female,25-30,Bangalore,Instagram Ad,Yes
CUST00489,Male,25-30,Hyderabad,Influencer,No
CUST00490,Female,31-35,Bangalore,Organic Search,No
CUST00491,Female,18-24,Bangalore,Referral,No
CUST00492,Other,25-30,Pune,Instagram Ad,No
CUST00493,Male,25-30,Mumbai,Instagram Ad,No
CUST00494,Male,18-24,Bangalore,Instagram Ad,No
CUST00495,Other,18-24,Bangalore,Referral,No
CUST00496,Other,18-24,Chennai,Google Ad,No
CUST00497,Female,18-24,Mumbai,Organic Search,No
CUST00498,Male,25-30,Hyderabad,Referral,Yes
CUST00499,Female,31-35,Mumbai,Referral,No
CUST00500,Other,45+,Mumbai,Instagram Ad,No
CUST00501,Female,18-24,Delhi,Influencer,Yes
CUST00502,Male,18-24,Chennai,Google Ad,No
CUST00503,Female,18-24,Bangalore,Instagram Ad,Yes
CUST00504,Male,36-45,Mumbai,Google Ad,No
CUST00505,Female,25-30,Ahmedabad,Instagram Ad,No
