order_id,customer_id,city,gender,age_group,channel,is_subscriber,order_date,product_name,category,unit_price,quantity,revenue,discount_pct,returned,order_month,cohort_month,cohort_index
ORD006582,CUST00246,Chennai,Female,25-30,Instagram Ad,Yes,2023-01-06,Moisturiser SPF 50,Skincare,499,2,998,0,No,2023-01,2023-01,0
ORD002249,CUST02353,Bangalore,Female,18-24,Instagram Ad,No,2023-01-06,Shampoo - Anti Dandruff,Haircare,349,2,698,0,No,2023-01,2023-01,0
ORD005714,CUST01858,Hyderabad,Male,31-35,Instagram Ad,No,2023-01-06,Shampoo - Anti Dandruff,Haircare,349,2,698,5,No,2023-01,2023-01,0
ORD003551,CUST01959,Kolkata,Male,18-24,Instagram Ad,No,2023-01-06,Cat Treats - Tuna,Pet Care,249,3,747,0,No,2023-01,2023-01,0
ORD004162,CUST00296,Delhi,Male,45+,Organic Search,No,2023-01-07,Protein Bar - Coffee,Nutrition,180,1,180,10,No,2023-01,2023-01,0
ORD007243,CUST01720,Mumbai,Male,18-24,Referral,No,2023-01-07,Vitamin C Serum,Skincare,599,1,599,10,No,2023-01,2023-01,0
ORD005966,CUST01881,Bangalore,Female,25-30,Google Ad,No,2023-01-07,Sanitary Pads - Regular,Wellness,199,1,199,0,No,2023-01,2023-01,0
ORD002256,CUST00932,Ahmedabad,Male,25-30,Instagram Ad,Yes,2023-01-07,Dog Food - Chicken 1kg,Pet Care,599,2,1198,0,No,2023-01,2023-01,0
ORD002763,CUST02967,Mumbai,Male,31-35,Instagram Ad,Yes,2023-01-07,Protein Bar - Dark Chocolate,Nutrition,180,2,360,5,No,2023-01,2023-01,0
ORD001343,CUST01024,Ahmedabad,Male,25-30,Instagram Ad,No,2023-01-07,Shampoo - Anti Dandruff,Haircare,349,1,349,0,No,2023-01,2023-01,0
ORD003750,CUST01436,Pune,Male,36-45,Referral,No,2023-01-07,Moisturiser SPF 50,Skincare,499,1,499,0,No,2023-01,2023-01,0
ORD003027,CUST01405,Delhi,Other,36-45,Google Ad,Yes,2023-01-07,Protein Bar - Dark Chocolate,Nutrition,180,2,360,0,No,2023-01,2023-01,0
ORD001467,CUST02691,Bangalore,Male,18-24,Organic Search,Yes,2023-01-07,Dog Food - Chicken 1kg,Pet Care,599,2,1198,0,No,2023-01,2023-01,0
ORD000088,CUST00292,Chennai,Female,18-24,Referral,No,2023-01-07,Sanitary Pads - Heavy Flow,Wellness,249,2,498,0,No,2023-01,2023-01,0
ORD005946,CUST01660,Pune,Male,36-45,Instagram Ad,No,2023-01-07,Cat Treats - Tuna,Pet Care,249,3,747,10,No,2023-01,2023-01,0
ORD007773,CUST02688,Mumbai,Other,25-30,Google Ad,No,2023-01-07,Face Wash - Charcoal,Skincare,299,1,299,0,No,2023-01,2023-01,0
ORD000099,CUST00586,Mumbai,Other,31-35,Instagram Ad,No,2023-01-07,Protein Bar - Peanut Butter,Nutrition,180,1,180,5,No,2023-01,2023-01,0
ORD004496,CUST00754,Delhi,Female,25-30,Organic Search,No,2023-01-07,Cat Treats - Tuna,Pet Care,249,1,249,0,No,2023-01,2023-01,0
ORD002323,CUST00447,Ahmedabad,Female,31-35,Organic Search,No,2023-01-07,Face Wash - Charcoal,Skincare,299,1,299,0,No,2023-01,2023-01,0
ORD000584,CUST00462,Delhi,Other,36-45,Instagram Ad,Yes,2023-01-07,Protein Bar - Coffee,Nutrition,180,1,180,0,No,2023-01,2023-01,0
ORD007422,CUST02999,Mumbai,Female,45+,Influencer,Yes,2023-01-08,Protein Bar - Peanut Butter,Nutrition,180,3,540,15,No,2023-01,2023-01,0
ORD004939,CUST00601,Mumbai,Male,25-30,Google Ad,No,2023-01-08,Sanitary Pads - Regular,Wellness,199,1,199,5,No,2023-01,2023-01,0
ORD004619,CUST02220,Delhi,Other,18-24,Google Ad,Yes,2023-01-08,Muesli - No Added Sugar,Nutrition,299,1,299,0,No,2023-01,2023-01,0
ORD004339,CUST01505,Bangalore,Male,18-24,Google Ad,Yes,2023-01-08,Peanut Butter - Crunchy,Nutrition,349,2,698,0,No,2023-01,2023-01,0
ORD002530,CUST01192,Lucknow,Female,25-30,Referral,Yes,2023-01-08,Dog Food - Chicken 1kg,Pet Care,599,1,599,10,No,2023-01,2023-01,0
ORD006924,CUST00693,Hyderabad,Male,25-30,Instagram Ad,No,2023-01-08,Protein Bar - Coffee,Nutrition,180,2,360,0,No,2023-01,2023-01,0
ORD001320,CUST02938,Mumbai,Male,18-24,Google Ad,No,2023-01-08,Shampoo - Anti Dandruff,Haircare,349,1,349,0,No,2023-01,2023-01,0
ORD004623,CUST02780,Bangalore,Male,36-45,Referral,No,2023-01-08,Shampoo - Anti Dandruff,Haircare,349,1,349,5,No,2023-01,2023-01,0
ORD001805,CUST01058,Mumbai,Female,25-30,Organic Search,No,2023-01-08,Sanitary Pads - Heavy Flow,Wellness,249,2,498,5,No,2023-01,2023-01,0
ORD006369,CUST01327,Bangalore,Other,25-30,Google Ad,No,2023-01-08,Protein Bar - Coffee,Nutrition,180,2,360,10,No,2023-01,2023-01,0
ORD001542,CUST01790,Bangalore,Male,25-30,Instagram Ad,No,2023-01-08,Sanitary Pads - Regular,Wellness,199,3,597,0,No,2023-01,2023-01,0
ORD001835,CUST01673,Mumbai,Male,25-30,Referral,Yes,2023-01-09,Sanitary Pads - Regular,Wellness,199,1,199,0,No,2023-01,2023-01,0
ORD004263,CUST02753,Delhi,Other,31-35,Google Ad,No,2023-01-09,Muesli - No Added Sugar,Nutrition,299,3,897,0,No,2023-01,2023-01,0
ORD004132,CUST01089,Jaipur,Other,25-30,Google Ad,No,2023-01-09,Face Wash - Charcoal,Skincare,299,1,299,0,No,2023-01,2023-01,0
ORD005017,CUST01051,Mumbai,Other,36-45,Instagram Ad,No,2023-01-09,Sanitary Pads - Regular,Wellness,199,1,199,15,No,2023-01,2023-01,0
ORD002626,CUST00067,Hyderabad,Other,36-45,Organic Search,No,2023-01-09,Cat Treats - Tuna,Pet Care,249,1,249,15,No,2023-01,2023-01,0
ORD003395,CUST01873,Chennai,Female,25-30,Instagram Ad,No,2023-01-09,Moisturiser SPF 50,Skincare,499,1,499,0,No,2023-01,2023-01,0
ORD000928,CUST01966,Mumbai,Other,18-24,Instagram Ad,No,2023-01-09,Sanitary Pads - Heavy Flow,Wellness,249,2,498,5,No,2023-01,2023-01,0
ORD005342,CUST02637,Bangalore,Other,36-45,Influencer,No,2023-01-09,Muesli - No Added Sugar,Nutrition,299,1,299,0,No,2023-01,2023-01,0
ORD002096,CUST02172,Pune,Other,25-30,Instagram Ad,Yes,2023-01-09,Cat Treats - Tuna,Pet Care,249,2,498,0,No,2023-01,2023-01,0
ORD003782,CUST01175,Bangalore,Female,25-30,Instagram Ad,No,2023-01-09,Face Wash - Charcoal,Skincare,299,3,897,0,No,2023-01,2023-01,0
ORD003667,CUST01769,Mumbai,Male,31-35,Google Ad,Yes,2023-01-09,Face Wash - Charcoal,Skincare,299,1,299,0,No,2023-01,2023-01,0
ORD000092,CUST01236,Bangalore,Male,25-30,Referral,No,2023-01-10,Protein Bar - Coffee,Nutrition,180,2,360,10,No,2023-01,2023-01,0
ORD001706,CUST02794,Hyderabad,Male,36-45,Influencer,No,2023-01-10,Vitamin C Serum,Skincare,599,1,599,0,No,2023-01,2023-01,0
ORD006012,CUST02181,Chennai,Male,25-30,Instagram Ad,No,2023-01-10,Muesli - No Added Sugar,Nutrition,299,1,299,0,No,2023-01,2023-01,0
ORD005827,CUST00922,Pune,Male,31-35,Influencer,No,2023-01-10,Sanitary Pads - Heavy Flow,Wellness,249,2,498,0,No,2023-01,2023-01,0
ORD000447,CUST01339,Bangalore,Other,25-30,Google Ad,No,2023-01-10,Vitamin C Serum,Skincare,599,2,1198,5,No,2023-01,2023-01,0
ORD001801,CUST00362,Mumbai,Female,36-45,Organic Search,No,2023-01-10,Muesli - No Added Sugar,Nutrition,299,1,299,0,No,2023-01,2023-01,0
ORD004287,CUST02746,Pune,Female,31-35,Referral,No,2023-01-10,Muesli - No Added Sugar,Nutrition,299,1,299,5,No,2023-01,2023-01,0
ORD005658,CUST00086,Bangalore,Male,25-30,Instagram Ad,No,2023-01-10,Protein Bar - Dark Chocolate,Nutrition,180,1,180,0,No,2023-01,2023-01,0
ORD000588,CUST02651,Mumbai,Female,18-24,Organic Search,No,2023-01-10,Sanitary Pads - Regular,Wellness,199,2,398,5,No,2023-01,2023-01,0
ORD005117,CUST01169,Mumbai,Other,31-35,Google Ad,No,2023-01-10,Sanitary Pads - Regular,Wellness,199,1,199,5,No,2023-01,2023-01,0
ORD004716,CUST00948,Lucknow,Other,18-24,Instagram Ad,Yes,2023-01-10,Moisturiser SPF 50,Skincare,499,1,499,10,No,2023-01,2023-01,0
ORD005186,CUST01643,Bangalore,Female,25-30,Google Ad,Yes,2023-01-10,Protein Bar - Peanut Butter,Nutrition,180,1,180,0,No,2023-01,2023-01,0
ORD004903,CUST00470,Bangalore,Female,25-30,Instagram Ad,No,2023-01-10,Muesli - No Added Sugar,Nutrition,299,3,897,10,No,2023-01,2023-01,0
ORD004883,CUST02995,Ahmedabad,Female,25-30,Google Ad,No,2023-01-11,Muesli - No Added Sugar,Nutrition,299,1,299,5,No,2023-01,2023-01,0
ORD001591,CUST01197,Delhi,Other,25-30,Referral,No,2023-01-11,Vitamin C Serum,Skincare,599,3,1797,0,No,2023-01,2023-01,0
ORD006152,CUST01418,Hyderabad,Female,18-24,Referral,No,2023-01-11,Dog Food - Chicken 1kg,Pet Care,599,1,599,10,No,2023-01,2023-01,0
ORD006699,CUST01919,Bangalore,Female,36-45,Google Ad,No,2023-01-11,Protein Bar - Coffee,Nutrition,180,2,360,0,No,2023-01,2023-01,0
ORD006765,CUST01788,Pune,Male,25-30,Referral,Yes,2023-01-11,Sanitary Pads - Heavy Flow,Wellness,249,1,249,5,No,2023-01,2023-01,0
ORD000260,CUST00747,Jaipur,Other,25-30,Instagram Ad,No,2023-01-11,Protein Bar - Dark Chocolate,Nutrition,180,1,180,0,No,2023-01,2023-01,0
ORD002625,CUST01448,Mumbai,Male,45+,Instagram Ad,No,2023-01-11,Shampoo - Anti Dandruff,Haircare,349,1,349,5,No,2023-01,2023-01,0
ORD003472,CUST00037,Mumbai,Female,25-30,Organic Search,No,2023-01-11,Protein Bar - Dark Chocolate,Nutrition,180,2,360,0,No,2023-01,2023-01,0
ORD004101,CUST01967,Lucknow,Other,25-30,Instagram Ad,No,2023-01-11,Dog Food - Chicken 1kg,Pet Care,599,2,1198,0,No,2023-01,2023-01,0
ORD004163,CUST01132,Bangalore,Female,31-35,Organic Search,No,2023-01-11,Face Wash - Charcoal,Skincare,299,2,598,15,No,2023-01,2023-01,0
ORD003766,CUST00643,Ahmedabad,Female,31-35,Google Ad,No,2023-01-11,Sanitary Pads - Heavy Flow,Wellness,249,2,498,0,No,2023-01,2023-01,0
ORD004382,CUST02121,Delhi,Female,18-24,Influencer,No,2023-01-11,Protein Bar - Peanut Butter,Nutrition,180,1,180,10,No,2023-01,2023-01,0
ORD001794,CUST00064,Delhi,Male,36-45,Instagram Ad,No,2023-01-11,Muesli - No Added Sugar,Nutrition,299,2,598,0,No,2023-01,2023-01,0
ORD004790,CUST01448,Mumbai,Male,45+,Instagram Ad,No,2023-01-12,Face Wash - Charcoal,Skincare,299,1,299,0,No,2023-01,2023-01,0
ORD002022,CUST01310,Hyderabad,Female,31-35,Instagram Ad,No,2023-01-12,Dog Food - Chicken 1kg,Pet Care,599,2,1198,0,No,2023-01,2023-01,0
ORD007510,CUST00003,Hyderabad,Female,31-35,Instagram Ad,No,2023-01-12,Face Wash - Charcoal,Skincare,299,1,299,5,No,2023-01,2023-01,0
ORD002317,CUST02187,Bangalore,Female,25-30,Instagram Ad,Yes,2023-01-12,Peanut Butter - Crunchy,Nutrition,349,2,698,5,No,2023-01,2023-01,0
ORD000756,CUST02536,Bangalore,Other,18-24,Influencer,No,2023-01-12,Vitamin C Serum,Skincare,599,1,599,0,No,2023-01,2023-01,0
ORD005561,CUST00238,Pune,Male,36-45,Organic Search,No,2023-01-12,Moisturiser SPF 50,Skincare,499,2,998,0,No,2023-01,2023-01,0
ORD004399,CUST02602,Mumbai,Male,45+,Instagram Ad,No,2023-01-12,Cat Treats - Tuna,Pet Care,249,1,249,10,No,2023-01,2023-01,0
ORD005331,CUST02994,Pune,Male,25-30,Instagram Ad,No,2023-01-12,Dog Food - Chicken 1kg,Pet Care,599,2,1198,0,No,2023-01,2023-01,0
ORD002514,CUST01160,Hyderabad,Male,25-30,Referral,No,2023-01-12,Protein Bar - Coffee,Nutrition,180,1,180,0,No,2023-01,2023-01,0
ORD000532,CUST00904,Chennai,Other,25-30,Google Ad,Yes,2023-01-12,Sanitary Pads - Regular,Wellness,199,2,398,10,No,2023-01,2023-01,0
ORD001362,CUST02360,Delhi,Other,31-35,Instagram Ad,No,2023-01-12,Face Wash - Charcoal,Skincare,299,1,299,5,No,2023-01,2023-01,0
ORD002554,CUST00222,Mumbai,Other,31-35,Organic Search,Yes,2023-01-12,Shampoo - Anti Dandruff,Haircare,349,2,698,0,No,2023-01,2023-01,0
ORD004322,CUST00366,Pune,Other,25-30,Instagram Ad,No,2023-01-12,Shampoo - Anti Dandruff,Haircare,349,1,349,15,No,2023-01,2023-01,0
ORD000188,CUST01952,Mumbai,Other,18-24,Organic Search,No,2023-01-13,Moisturiser SPF 50,Skincare,499,1,499,0,No,2023-01,2023-01,0
ORD005177,CUST01149,Delhi,Male,25-30,Google Ad,No,2023-01-13,Protein Bar - Coffee,Nutrition,180,1,180,0,No,2023-01,2023-01,0
ORD000851,CUST02169,Mumbai,Male,25-30,Instagram Ad,No,2023-01-13,Vitamin C Serum,Skincare,599,1,599,0,No,2023-01,2023-01,0
ORD004438,CUST01028,Pune,Female,36-45,Google Ad,No,2023-01-13,Face Wash - Charcoal,Skincare,299,1,299,0,No,2023-01,2023-01,0
ORD002627,CUST01907,Pune,Female,25-30,Referral,No,2023-01-13,Protein Bar - Dark Chocolate,Nutrition,180,1,180,15,No,2023-01,2023-01,0
ORD007181,CUST00903,Jaipur,Male,36-45,Organic Search,Yes,2023-01-13,Cat Treats - Tuna,Pet Care,249,1,249,5,No,2023-01,2023-01,0
ORD007812,CUST02049,Mumbai,Female,25-30,Google Ad,No,2023-01-13,Shampoo - Anti Dandruff,Haircare,349,1,349,5,No,2023-01,2023-01,0
ORD000641,CUST02213,Mumbai,Male,25-30,Influencer,No,2023-01-13,Protein Bar - Dark Chocolate,Nutrition,180,2,360,0,No,2023-01,2023-01,0
ORD000101,CUST00596,Kolkata,Female,36-45,Influencer,No,2023-01-13,Moisturiser SPF 50,Skincare,499,1,499,0,No,2023-01,2023-01,0
ORD007007,CUST00913,Lucknow,Other,25-30,Referral,No,2023-01-13,Shampoo - Anti Dandruff,Haircare,349,3,1047,5,No,2023-01,2023-01,0
ORD004111,CUST00299,Pune,Male,25-30,Instagram Ad,No,2023-01-13,Protein Bar - Dark Chocolate,Nutrition,180,3,540,0,No,2023-01,2023-01,0
ORD006903,CUST01998,Kolkata,Female,31-35,Organic Search,Yes,2023-01-13,Sanitary Pads - Heavy Flow,Wellness,249,1,249,0,No,2023-01,2023-01,0
ORD000530,CUST00661,Mumbai,Other,25-30,Referral,No,2023-01-13,Protein Bar - Dark Chocolate,Nutrition,180,1,180,10,No,2023-01,2023-01,0
ORD003009,CUST01121,Bangalore,Female,18-24,Google Ad,No,2023-01-13,Face Wash - Charcoal,Skincare,299,1,299,0,No,2023-01,2023-01,0
ORD005285,CUST00666,Kolkata,Male,25-30,Instagram Ad,No,2023-01-13,Protein Bar - Dark Chocolate,Nutrition,180,1,180,15,No,2023-01,2023-01,0
ORD004569,CUST01084,Pune,Other,25-30,Google Ad,Yes,2023-01-13,Protein Bar - Coffee,Nutrition,180,2,360,0,No,2023-01,2023-01,0
ORD007716,CUST00480,Pune,Male,36-45,Google Ad,No,2023-01-13,Protein Bar - Coffee,Nutrition,180,2,360,10,No,2023-01,2023-01,0
ORD002860,CUST01333,Bangalore,Female,25-30,Instagram Ad,No,2023-01-13,Sanitary Pads - Heavy Flow,Wellness,249,1,249,10,No,2023-01,2023-01,0
ORD001850,CUST00505,Ahmedabad,Female,25-30,Instagram Ad,No,2023-01-13,Moisturiser SPF 50,Skincare,499,1,499,10,No,2023-01,2023-01,0
ORD000492,CUST02955,Delhi,Female,25-30,Referral,No,2023-01-13,Shampoo - Anti Dandruff,Haircare,349,1,349,5,No,2023-01,2023-01,0
ORD005821,CUST00865,Hyderabad,Male,25-30,Organic Search,No,2023-01-14,Protein Bar - Coffee,Nutrition,180,1,180,0,No,2023-01,2023-01,0
ORD001257,CUST00911,Ahmedabad,Female,18-24,Google Ad,No,2023-01-14,Protein Bar - Peanut Butter,Nutrition,180,1,180,5,No,2023-01,2023-01,0
ORD007622,CUST00327,Kolkata,Other,31-35,Organic Search,No,2023-01-14,Protein Bar - Dark Chocolate,Nutrition,180,3,540,5,No,2023-01,2023-01,0
ORD003174,CUST00165,Delhi,Male,25-30,Organic Search,No,2023-01-14,Protein Bar - Coffee,Nutrition,180,1,180,0,No,2023-01,2023-01,0
ORD004466,CUST01191,Lucknow,Other,25-30,Referral,Yes,2023-01-14,Sanitary Pads - Regular,Wellness,199,1,199,5,No,2023-01,2023-01,0
ORD006595,CUST01754,Mumbai,Female,18-24,Google Ad,No,2023-01-14,Sanitary Pads - Heavy Flow,Wellness,249,1,249,5,No,2023-01,2023-01,0
ORD005294,CUST01140,Hyderabad,Other,31-35,Influencer,No,2023-01-14,Sanitary Pads - Regular,Wellness,199,1,199,0,No,2023-01,2023-01,0
ORD003634,CUST01066,Kolkata,Male,18-24,Google Ad,No,2023-01-14,Protein Bar - Dark Chocolate,Nutrition,180,1,180,0,No,2023-01,2023-01,0
ORD005846,CUST02343,Pune,Male,31-35,Referral,Yes,2023-01-14,Vitamin C Serum,Skincare,599,2,1198,0,No,2023-01,2023-01,0
ORD006706,CUST01927,Mumbai,Other,18-24,Google Ad,No,2023-01-14,Shampoo - Anti Dandruff,Haircare,349,1,349,0,No,2023-01,2023-01,0
ORD001232,CUST00313,Pune,Male,36-45,Referral,No,2023-01-14,Sanitary Pads - Heavy Flow,Wellness,249,2,498,10,No,2023-01,2023-01,0
ORD007506,CUST01342,Lucknow,Male,25-30,Organic Search,No,2023-01-15,Protein Bar - Coffee,Nutrition,180,1,180,15,No,2023-01,2023-01,0
ORD003140,CUST00282,Bangalore,Other,31-35,Instagram Ad,No,2023-01-15,Sanitary Pads - Heavy Flow,Wellness,249,1,249,0,No,2023-01,2023-01,0
ORD003646,CUST02132,Mumbai,Female,25-30,Google Ad,No,2023-01-15,Protein Bar - Coffee,Nutrition,180,3,540,0,No,2023-01,2023-01,0
ORD007171,CUST01546,Mumbai,Male,25-30,Instagram Ad,No,2023-01-15,Moisturiser SPF 50,Skincare,499,3,1497,5,No,2023-01,2023-01,0
ORD004937,CUST00238,Pune,Male,36-45,Organic Search,No,2023-01-15,Moisturiser SPF 50,Skincare,499,3,1497,0,No,2023-01,2023-01,0
ORD000501,CUST02262,Mumbai,Female,25-30,Google Ad,No,2023-01-15,Protein Bar - Dark Chocolate,Nutrition,180,3,540,0,No,2023-01,2023-01,0
ORD006739,CUST01699,Delhi,Female,25-30,Google Ad,No,2023-01-15,Shampoo - Anti Dandruff,Haircare,349,1,349,0,No,2023-01,2023-01,0
ORD006227,CUST00134,Bangalore,Male,45+,Referral,No,2023-01-16,Protein Bar - Coffee,Nutrition,180,1,180,0,No,2023-01,2023-01,0
ORD004436,CUST00975,Kolkata,Other,18-24,Google Ad,No,2023-01-16,Protein Bar - Coffee,Nutrition,180,1,180,0,No,2023-01,2023-01,0
ORD005534,CUST01303,Mumbai,Female,36-45,Influencer,Yes,2023-01-16,Protein Bar - Peanut Butter,Nutrition,180,1,180,0,No,2023-01,2023-01,0
